id,name,rating,about,address,price_range,cuisines,features,preferences,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,img1_url,img2_url,img3_url
315,Yakaprì Restaurant,4.5,"Italian Restaurant, Oven wood pizza at Selong Belanak Our staff wait you for share our passion for italian food","Jalan Raya 8 - Selong Belanak Tiki Lodge, Lombok 83572 Indonesia",$,"['Fusion', 'Healthy Restaurants in Lombok', 'Arabic Restaurants in Lombok']","['Cash Only, Accepts Credit CardsLunch, Dinner, Brunch, DrinksTable Service', 'Cash Only, Accepts Credit Cards', 'Lunch, Dinner, Brunch, Drinks']","['mahi mahi', 'pool', 'dessert']",11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/73/16/af/kitchen-open-check-our.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/61/1f/0c/barbecue-day-fresh-fish.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6e/a3/7d/squid-alla-plancha.jpg?w=700&h=400&s=1
316,"CLOVE RESTAURANT, Senggigi, Lombok",5.0,"Jl Raya Senggigi, km 12 Montana Premier Senggigi Hotel, Senggigi, Lombok 83355 Indonesia","Jl Raya Senggigi, km 12 Montana Premier Senggigi Hotel, Senggigi, Lombok 83355 Indonesia",$,"['Pizza', 'Asian', 'Latin Restaurants in Senggigi', 'Cafes for Lunch in Senggigi']","['Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Drinks', 'Buffet, Delivery, Private Dining']",[],7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/54/42/cb/iga-bakar-montana.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/57/da/f6/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/56/6f/c8/caption.jpg?w=900&h=500&s=1
317,Honey Jack Cafe & Restaurant,4.7,We are a part of PT Bamboolab Architect Company with amazing Bamboo Building and sweet Branch Cafe in Kuta Lombok,"Jl. Mawun Aik Lengis, Dusun Mengalung, Nusa Tenggara Bar, Kuta, Lombok 85373 Indonesia",$$ - $$$,"['Cafe', 'Fast Food', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta', 'Cafes for Families in Kuta']","['Digital Payments, Accepts credit cards: Discover, Mastercard, Visa', 'Breakfast, Lunch, Brunch, Drinks', 'Family style, Table Service, Takeout']",[],7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/e3/d0/9e/interior.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/e3/d4/33/pancakes-and-french-toast.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/ab/f0/04/croissant-poached-egg.jpg?w=900&h=500&s=1
318,Thai Thai Kitchen And Bar,3.5,"Experience the vibrant flavors of Thailand right here in Lombok. At Thai Thai, we bring you authentic Thai cuisine made with fresh local ingredients and traditional recipes. Whether you're craving a spicy curry, a refreshing papaya salad, or classic pad thai, our dishes are crafted to transport you straight to the heart of Thailand. Enjoy a warm, relaxed atmosphere and the true taste of Thai hospitality.","Jl Raya Kuta No. 6, Kuta, Lombok 83573 Indonesia",$,"['Asian', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta']","['Accepts credit cards: Mastercard, VisaLunch, Dinner, Late Night, DrinksFamily style, Table Service', 'Accepts credit cards: Mastercard, Visa', 'Lunch, Dinner, Late Night, Drinks', 'Family style, Table Service']",[],11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/c9/7f/93/menu.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/c9/7f/97/menu.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/c9/7f/8c/menu.jpg?w=900&h=500&s=1
319,Pasta Pojok Trawangan,4.7,"Jln. Pantai Gili Trawangan, Pemenang, West Nusa Tenggara Indonesia","Jln. Pantai Gili Trawangan, Pemenang, West Nusa Tenggara Indonesia",$$ - $$$,"['Italian', 'Mediterranean']","['Breakfast, Lunch, DinnerTable ServiceSeating', 'Breakfast, Lunch, Dinner']",['gili'],8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c9/33/50/picture.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/19/25/be/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/19/25/bd/caption.jpg?w=900&h=500&s=1
320,Biba Beach Cafe - Ristorante Italiano,4.1,"Biba Beach Cafe' has won for 5 consecutive years the Certificate of Excellence on Tripadvisor. Biba Beach is a special and relaxing Italian Restaurant in front of the sea. Specialized in italian pizza, pasta, homemade ravioli and gnocchi, we also offer Indonesian foods. Our famous italian dessert, Tiramisu, is also made everyday.","Island Ring Road, Facing East, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,"['Italian', 'International']","['Vegetarian friendlyBreakfast, Lunch, Dinner, Brunch, DrinksTable Service', 'Breakfast, Lunch, Dinner, Brunch, Drinks']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0e/5d/18/biba-beach-cafe-ristorante.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ff/ab/08/jumbo-prawns.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/86/65/8a/20180402-210517-largejpg.jpg?w=900&h=500&s=1
321,Serene Sunset,4.6,"SERENE SUNSET BEACH is located on the beautiful sunset-side of the island, perfect for relaxing beach days and beautiful sunsets! Our big passion is to take care of our Environment, Mother Nature. This is way we banned Plastic and Cans totally from our Menu! We offer you always fresh ingredients and always made with lots of love! On the Menu you find our famous, refreshing Mojito's, fresh Organic Juices, tropical Fruits and of course not to forget our homemade Pizza and Pasta! SERENE SUNSET is our home which we work hard with our hearts to make it as enjoyable and comfortable as possible - and we love to share our little piece of heaven with you! Feel Home and safe with us, if you have any special request or concern, there will always be someone to help you! Again, we are on a little tiny Island in the middle of nowhere with limited access to actually everything, so lets just chill, relax and appreciate life more together:) We're looking forward to have you in Serene Sunset!","Beach Front , Sunset Side , West Nusa Tenggara, Pemenang, West Nusa Tenggara Indonesia",$$ - $$$,['Italian'],"['Vegan optionsCash Only, Accepts Credit CardsBreakfast, Lunch, Dinner', 'Cash Only, Accepts Credit Cards', 'Breakfast, Lunch, Dinner']",[],10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/49/f8/5b/serene-restuarant-bar.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/97/f1/81/perfection-ps-the-pumpkin.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/20/52/f5/caption.jpg?w=600&h=400&s=1
322,Oz Restaurant,5.0,,"Jl Raya Kuta, Kuta, Lombok Indonesia",$$-$$$,"['Cafe', 'Mediterranean', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta', 'Cafes for Families in Kuta']","['Breakfast, Lunch, DinnerCafe, Mediterranean, Diner, Australian', 'Breakfast, Lunch, Dinner', 'Cafe, Mediterranean, Diner, Australian']",[],7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/18/04/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/18/03/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/18/01/caption.jpg?w=900&h=500&s=1
323,Naga Restaurant,5.0,,"Gili Asahan, Lombok 33113 Indonesia",$$-$$$,[],[],[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1f/ca/43/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1f/ca/46/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1f/ca/47/caption.jpg?w=900&h=500&s=1
324,Lotus Mandalika,5.0,Family owned and run warung offering a range of dishes both western & Indonesian from Chicken Cordon Bleu to Nasi Campur. Free pick up subject to availability of car. Free delivery service in the Kuta area.,"Mandalika Bazzar, Kuta, Lombok 83573 Indonesia",$,"['European', 'Asian', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta', 'Cafes for Families in Kuta']","['Lunch, DinnerTable ServiceSeating', 'Lunch, Dinner']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/7f/ad/02/nasi-kuning-available.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/7f/ad/09/nasi-campur.jpg?w=800&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/88/28/3b/20190930-195742-largejpg.jpg?w=900&h=500&s=1
325,"The Cutting Board, Gili Trawangan",5.0,"Jl. Pantai Gili Trawangan, Gili Indah, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83355, Indonesia, Pemenang, West Nusa Tenggara 83352 Indonesia","Jl. Pantai Gili Trawangan, Gili Indah, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83355, Indonesia, Pemenang, West Nusa Tenggara 83352 Indonesia",$$-$$$,"['American', 'Steakhouse']","['Lunch, DinnerAmerican, Steakhouse, Grill', 'Lunch, Dinner', 'American, Steakhouse, Grill']",[],2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,Closed,,,
326,Warung Taliwang Moerad,4.1,,"Jl. Pelikan, Mataram, Lombok 83121 Indonesia",$$ - $$$,"['Asian', 'Indonesian', 'Korean Restaurants in Mataram', 'Arabic Restaurants in Mataram']","['Asian, Indonesian']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/b1/df/61/25395020-1992988467383177.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e9/a7/94/plecing-kangkung.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e0/c9/14/photo0jpg.jpg?w=900&h=500&s=1
327,Lockdown Kitchen Gili Air,5.0,,"Pemenang, West Nusa Tenggara 83552 Indonesia",$$$$,"['Indian', 'European']","['Breakfast, Lunch, DinnerIndian, European, Asian, Indonesian', 'Breakfast, Lunch, Dinner', 'Indian, European, Asian, Indonesian']",['portions'],8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/92/24/f9/super-delicius-and-good.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/92/24/fa/super-delicius-and-good.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/92/24/f8/super-delicius-and-good.jpg?w=900&h=500&s=1
328,Snapper Surf Corner,5.0,,"Kampung Grupuk, Sengkol, Lombok Indonesia",$$ - $$$,"['Chinese', 'American', 'Healthy Restaurants in Lombok', 'Arabic Restaurants in Lombok', 'Romantic Cafes in Lombok']","['AboutFeaturesSee all featuresDinnerTable ServiceSeating', 'FeaturesSee all featuresDinnerTable ServiceSeating', 'DinnerTable ServiceSeating', 'Dinner', 'Table Service']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b6/dc/1f/getlstd-property-photo.jpg?w=600&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d5/c5/a9/snapper-surf-corner.jpg?w=800&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d5/c5/a0/snapper-surf-corner.jpg?w=600&h=400&s=1
329,Sunrise Beach Club,3.8,"Fusion Style Reflecting our guests from all over the world, the Sunrise Beach Club menu offers Fusion style modern dishes, Tapas and Indonesian Specialities all day long; with a hard to beat BBQ at nighttime. A dedicated kids menu makes sure our little guests are also taken care of. Selected Wine For those who love their wines, we offer selected good quality French and Italian wines at reasonable prices, something hard to find on Gili Air. For Champagne lovers we offer Jean Pierre Brut, Lanson and Bollinger. 75m Beach Front With 75 meters direct beach front Sunrise Beach Club has 2 main beach seating areas. The wooden sundeck invites for both lounging and eating directly above the sand with direct sea views and open skies. Diversity The Beach Club offers various seating areas for different tastes with one menu throughout. You can also watch the gentle turquoise waves from our covered beach restaurant area, which is decked out with white washed rattan furniture.","Sunrise Gili Air, East Beach, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,"['Seafood', 'European']","['Vegetarian friendly, Vegan options, Gluten free options', 'Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks']",[],7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,7:30 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/e4/b2/35/this-can-be-yours-for.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f4/ff/46/tom-collins-with-a-nice.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/e4/b1/fe/breakfast-on-the-beach.jpg?w=900&h=500&s=1
330,Bubbles Bar & Restaurant,4.5,,"Pemenang, West Nusa Tenggara Indonesia",$,"['American', 'Asian']","['DinnerTable ServiceAmerican, Asian, Indonesian', 'American, Asian, Indonesian']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7f/e5/ca/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/4c/18/c6/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/02/90/c2/caption.jpg?w=900&h=500&s=1
331,Pantai Hans Beach Bar & Grill,4.7,"Gili Air, Desa Gili Indah, Kec. Pemenang, Lombok Utara, Pemenang, West Nusa Tenggara 83352 Indonesia","Gili Air, Desa Gili Indah, Kec. Pemenang, Lombok Utara, Pemenang, West Nusa Tenggara 83352 Indonesia",$,['Seafood'],"['Breakfast, LunchSeafood', 'Breakfast, Lunch']",[],7:30 AM - 12:00 PM,7:30 AM - 12:00 PM,7:30 AM - 12:00 PM,7:30 AM - 12:00 PM,7:30 AM - 12:00 PM,7:30 AM - 12:00 PM,7:30 AM - 12:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7c/7b/94/caption.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/10/54/f7/caption.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7c/7b/93/caption.jpg?w=900&h=-1&s=1
332,Bahia Restaurant & Beachbar - Gili Air,5.0,"Bahia is a beachfront restaurant and bar on Gili Air, offering island-fusion cuisine, tropical cocktails and a relaxed atmosphere right on the sand. Guests can choose from sunbeds, lounge chairs, shaded tables, comfy couches or indoor seating. Our menu highlights fresh, colorful dishes made with quality ingredients ideal for sharing or enjoying on your own. Whether you stop by for a swim or snorkel just in front, come for a long lazy lunch, or unwind with cocktails at sunset, Bahia brings together friendly service, comfort, and a beautiful oceanfront setting that makes every visit memorable.","Gili Indah, Pemenang, West Nusa Tenggara 83352 Indonesia",$$-$$$,[],"['Accepts credit cards: American Express, Discover, Mastercard, Visa', 'Breakfast, Lunch, Dinner, Drinks', 'Family style, Table Service']",[],8:30 AM - 11:00 PM,8:30 AM - 11:00 PM,8:30 AM - 11:00 PM,8:30 AM - 11:00 PM,8:30 AM - 11:00 PM,8:30 AM - 11:00 PM,8:30 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/b6/bb/bahia-is-a-beachfront.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/b6/bc/offering-a-variety-of.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/b6/c0/offering-a-variety-of.jpg?w=900&h=500&s=1
333,Flowers & Fire Wholefoods Cafe,4.9,"Situated under a sprawling sapodilla tree and our Flowers & Fire Yoga Garden, our open air plant based cafe serves simple but delicious whole food creations with plenty of fresh, minimally processed and enzyme rich ingredients. Everything, from our bread, to our peanut butter, to our dressings and sauces are made from scratch using healthy and whole ingredients. We cater to vegetarian and vegan diets, offering meals that are satisfying, artfully crafted and will leave you feeling balanced. Our food philosophy is that simple, hearty, fresh, healthy, digestible and delicious food is best. But there is always space for good coffee and an extensive tea selection. And wait until you try our homemade “I can’t believe it’s not Ben & Jerry’s” raw vegan, creamy fresh fruit ice cream, served with a crackly cacoa topping and sliced sapodilla from our tree. Not only will our inviting cafe nourish you, but we also offer poolside community wifi facilities for digital nomads visiting Gili Air.","Jl. Mojo, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Cafe', 'Fusion']","['Vegetarian friendly, Vegan optionsAccepts Credit CardsBreakfast, Lunch, Dinner, Brunch, Drinks', 'Vegetarian friendly, Vegan options', 'Breakfast, Lunch, Dinner, Brunch, Drinks']",[],7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/77/7b/f7/getlstd-property-photo.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/27/e1/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/2b/11/caption.jpg?w=900&h=500&s=1
334,Warung Simpang 3,4.8,We are a small family running our warung simpang 3 Gili Meno. from the harbor to our cafe just 10 mint walking time.Here we over a typical Indonesia food and the other food will bring you best guaranty for money.we cooking all fresh.How ever please and give tray our local food as cooking for you.,"Pemenang Lombok Utara., Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Chinese', 'Indian']","['Breakfast, Lunch, DinnerTable ServiceSeating', 'Breakfast, Lunch, Dinner']",[],9:00 AM - 11:00 AM,9:00 AM - 11:00 AM,9:00 AM - 11:00 AM,9:00 AM - 11:00 AM,9:00 AM - 11:00 AM,9:00 AM - 11:00 AM,9:00 AM - 11:00 AM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/18/7f/b6/warung-simpang-3.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/18/7f/bb/warung-simpang-3.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/0d/86/46/warung-simpang-3.jpg?w=900&h=500&s=1
335,La Cocoteraie Restaurant,5.0,"Our hotel restaurant in Gili Trawangan welcomes both guests and non-guests to enjoy a diverse menu featuring Indonesian and Western cuisine. We specialize in fresh, homemade dishes prepared upon order. Additionally, we cater to all dietary preferences by offering vegetarian and vegan options for any dish. Come and savor a delicious meal tailored to your taste!","Jalan Kelapa Gili Trawangan, Pemenang, Lombok 83352 Indonesia",$,"['International', 'Indonesian']","['Accepts credit cards: American Express, Discover, Mastercard, Visa', 'Breakfast, Lunch, Dinner, Drinks', 'Delivery, Family style, Table Service, Takeout']",[],7:00 AM - 10:00 PM,7:00 AM - 10:00 AM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/55/1f/81/restaurant.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/55/1f/35/floating-breakfast.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/55/18/bf/greek-salad.jpg?w=900&h=500&s=1
336,Pituq Café,4.6,,"Sunrise Point Gili Air, Lombok 83352 Indonesia",$$ - $$$,"['Indonesian', 'Healthy Restaurants in Lombok', 'Arabic Restaurants in Lombok']","['Vegetarian friendly, Vegan optionsLunch, DinnerTable Service', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner']","['beach', 'gili']",11:00 AM - 3:00 PM6:00 PM - 9:30 PM,11:00 AM - 3:00 PM6:00 PM - 9:30 PM,11:00 AM - 3:00 PM6:00 PM - 9:30 PM,11:00 AM - 3:00 PM6:00 PM - 9:30 PM,3:00 PM - 9:30 PM,2:00 PM - 9:30 PM,11:00 AM - 3:00 PM6:00 PM - 9:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ee/d4/cb/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ee/d4/cd/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fa/a9/65/caption.jpg?w=900&h=500&s=1
337,Pizza Hut,3.9,,"Jalan Pejanggik, Mataram, Lombok 83232 Indonesia",$$ - $$$,"['Italian', 'Pizza', 'Arabic Restaurants in Mataram', 'Korean Restaurants in Mataram']","['Vegetarian friendlyBreakfast, Lunch, Dinner, BrunchDelivery, Takeout', 'Breakfast, Lunch, Dinner, Brunch', 'Delivery, Takeout']",[],7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/50/34/d5/fresh-clean-cold-crisp.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/7a/5e/6c/deluxe-cheese-cheesy.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/97/7e/04/20160818-142115-largejpg.jpg?w=900&h=500&s=1
338,Hello Capitano,4.9,"Gili Indah, Pemenang, North Lombok Regency West Nu, Pemenang, West Nusa Tenggara Indonesia","Gili Indah, Pemenang, North Lombok Regency West Nu, Pemenang, West Nusa Tenggara Indonesia",$$-$$$,"['American', 'Cafe']","['Accepts credit cards: VisaBreakfast, Lunch, Dinner, DrinksTable Service', 'Breakfast, Lunch, Dinner, Drinks']",['gili t'],6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/64/ae/1b/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/4a/19/f7/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/4a/58/d8/caption.jpg?w=900&h=500&s=1
339,RM Kania,4.2,"Jln. Pejanggik No. 8, Mataram, Lombok 83231 Indonesia","Jln. Pejanggik No. 8, Mataram, Lombok 83231 Indonesia",$$ - $$$,"['Asian', 'Indonesian', 'Arabic Restaurants in Mataram', 'Korean Restaurants in Mataram', 'Delis for Lunch in Mataram', 'Pizza for Lunch in Mataram']","['Lunch, DinnerTable ServiceSeating', 'Lunch, Dinner']",[],Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/63/63/f6/mtf-jotuq-435-largejpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/58/70/de/bersama-keluarga-makan.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e2/0d/58/rm-kania.jpg?w=900&h=500&s=1
340,Hamburgerya,4.9,"We make Hamburgers, this is our job, make the food time a good experience for everyone, ""Genuine Taste Burgers"", all is prepared from fresh raw product, every burger has inside well balanced tasty ingredients, our experienced chef create everything thinking about the best food experience that the customers can have with a burger. It’s a new hamburger experience, a Genuine Taste Burgers experience!","Jl. Raya Senggigi Km.8 Upstairs of Pasta Pojok restaurant, Senggigi, Lombok 83355 Indonesia",$,"['American', 'Cafe', 'Latin Restaurants in Senggigi']","['Accepts Credit CardsDinner, DrinksDelivery, Family style, Table Service, Takeout', 'Dinner, Drinks', 'Delivery, Family style, Table Service, Takeout']",['burger'],4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/11/f7/6c/the-cheese-our-cheeseburger.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/19/7e/e8/hamburgerya.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/7b/7f/1c/photo4jpg.jpg?w=900&h=500&s=1
